timestamp,ac_output_voltage,ac_output_frequency,ac_output_active_power,ac_output_apparent_power,ac_output_load,is_load_on
2024-07-01T00:00:00,220.0,50.05,1520.0,1596.0,19.0,1
2024-07-01T00:00:03,223.4,50.0,1508.8,1584.3,18.9,1
2024-07-01T00:00:06,217.7,50.01,1497.6,1572.5,18.7,1
2024-07-01T00:00:09,220.5,50.01,1498.2,1573.1,18.7,1
2024-07-01T00:00:12,221.8,49.97,1511.0,1586.5,18.9,1
2024-07-01T00:00:15,221.8,49.98,1513.9,1589.6,18.9,1
2024-07-01T00:00:18,216.9,49.96,1468.6,1542.0,18.4,1
2024-07-01T00:00:21,222.2,49.95,1484.1,1558.3,18.6,1
2024-07-01T00:00:24,219.5,50.02,1505.5,1580.8,18.8,1
2024-07-01T00:00:27,219.0,50.03,1501.2,1576.3,18.8,1
2024-07-01T00:00:30,220.5,50.0,1512.6,1588.3,18.9,1
2024-07-01T00:00:33,219.5,50.04,1519.5,1595.5,19.0,1
2024-07-01T00:00:36,221.8,50.0,1482.0,1556.1,18.5,1
2024-07-01T00:00:39,218.9,49.98,1496.7,1571.5,18.7,1
2024-07-01T00:00:42,219.7,49.99,1514.3,1590.0,18.9,1
2024-07-01T00:00:45,218.1,50.02,1510.3,1585.9,18.9,1
2024-07-01T00:00:48,219.7,49.98,1495.0,1569.7,18.7,1
2024-07-01T00:00:51,219.8,49.99,1497.0,1571.9,18.7,1
2024-07-01T00:00:54,220.6,50.01,1511.3,1586.9,18.9,1
2024-07-01T00:00:57,216.2,49.97,1490.8,1565.3,18.6,1
2024-07-01T00:01:00,218.6,49.99,1502.5,1577.6,18.8,1
2024-07-01T00:01:03,218.8,49.98,1516.9,1592.7,19.0,1
2024-07-01T00:01:06,222.2,50.0,1482.1,1556.2,18.5,1
2024-07-01T00:01:09,220.6,50.02,1482.3,1556.4,18.5,1
2024-07-01T00:01:12,219.8,50.04,1511.9,1587.5,18.9,1
2024-07-01T00:01:15,218.9,49.98,1489.4,1563.9,18.6,1
2024-07-01T00:01:18,220.5,49.98,1495.6,1570.4,18.7,1
2024-07-01T00:01:21,218.4,50.01,1481.6,1555.7,18.5,1
