timestamp,pv_input_voltage,pv_input_current_for_battery,pv_input_power,battery_voltage_from_scc,is_scc_charging_on
2024-07-01T00:00:00,0.0,0.0,0.0,0.0,0
2024-07-01T00:05:00,0.0,0.0,0.0,0.0,0
2024-07-01T00:10:00,80.12,0.21,16.6,13.16,0
2024-07-01T00:15:00,0.0,0.0,0.0,0.0,0
2024-07-01T00:20:00,0.0,0.0,6.2,0.0,0
2024-07-01T00:25:00,0.0,0.0,0.0,0.0,0
2024-07-01T00:30:00,0.0,0.0,0.0,0.0,0
2024-07-01T00:35:00,0.0,0.0,7.9,0.0,0
2024-07-01T00:40:00,0.0,0.0,5.5,0.0,0
2024-07-01T00:45:00,0.0,0.0,0.0,0.0,0
2024-07-01T00:50:00,0.0,0.0,0.0,0.0,0
2024-07-01T00:55:00,79.88,0.17,13.6,13.17,0
2024-07-01T01:00:00,0.0,0.0,0.0,0.0,0
2024-07-01T01:05:00,0.0,0.0,0.1,0.0,0
2024-07-01T01:10:00,0.0,0.0,7.1,0.0,0
2024-07-01T01:15:00,80.19,0.3,24.3,13.11,1
2024-07-01T01:20:00,0.0,0.0,0.0,0.0,0
2024-07-01T01:25:00,0.0,0.0,0.0,0.0,0
2024-07-01T01:30:00,0.0,0.0,0.0,0.0,0
2024-07-01T01:35:00,0.0,0.0,5.2,0.0,0
2024-07-01T01:40:00,0.0,0.0,0.0,0.0,0
2024-07-01T01:45:00,0.0,0.0,0.0,0.0,0
2024-07-01T01:50:00,0.0,0.0,0.0,0.0,0
2024-07-01T01:55:00,0.0,0.0,0.0,0.0,0
2024-07-01T02:00:00,0.0,0.0,8.0,0.0,0
2024-07-01T02:05:00,0.0,0.0,0.0,0.0,0
2024-07-01T02:10:00,80.02,0.37,29.4,13.22,1
2024-07-01T02:15:00,0.0,0.0,0.0,0.0,0
2024-07-01T02:20:00,79.39,0.29,22.8,13.24,1
2024-07-01T02:25:00,79.8,0.29,22.8,13.23,1
2024-07-01T02:30:00,0.0,0.0,0.0,0.0,0
2024-07-01T02:35:00,0.0,0.0,2.8,0.0,0
2024-07-01T02:40:00,0.0,0.0,5.3,0.0,0
2024-07-01T02:45:00,0.0,0.0,0.0,0.0,0
2024-07-01T02:50:00,0.0,0.0,0.3,0.0,0
2024-07-01T02:55:00,0.0,0.0,3.8,0.0,0
2024-07-01T03:00:00,81.24,0.16,13.4,13.21,0
2024-07-01T03:05:00,0.0,0.0,0.0,0.0,0
2024-07-01T03:10:00,0.0,0.0,0.0,0.0,0
2024-07-01T03:15:00,0.0,0.0,0.0,0.0,0
2024-07-01T03:20:00,0.0,0.0,0.0,0.0,0
2024-07-01T03:25:00,79.85,0.21,17.0,13.26,0
2024-07-01T03:30:00,81.31,0.51,41.1,13.19,1
2024-07-01T03:35:00,79.17,0.29,22.6,13.17,1
2024-07-01T03:40:00,80.28,0.14,11.0,13.13,0
2024-07-01T03:45:00,0.0,0.0,0.0,0.0,0
2024-07-01T03:50:00,0.0,0.0,0.0,0.0,0
2024-07-01T03:55:00,79.65,0.47,37.1,13.21,1
